"posres","multi","clinend","mech","sampsize","budget","impact","time","status"
0,0,1,"R01",39876,8.0169405,44.016,11.20328542,1
0,0,1,"R01",39876,8.0169405,23.494,15.17864476,1
0,0,1,"R01",8171,7.612606,8.391,24.41067762,1
0,0,1,"Contract",24335,11.771928,15.402,2.595482546,1
0,0,1,"Contract",33357,76.517537,16.783,8.607802875,1
0,0,1,"Contract",10355,9.809938,16.783,8.607802875,1
0,1,0,"U01",1704,23.818344,5.692,40.04928131,1
1,0,0,"R01",150,2.703848,3.496,27.07186858,1
0,0,0,"R01",135,3.454153,9.835,36.00821355,1
0,1,0,"Contract",423,11.154085,16.783,9.626283368,1
0,0,1,"Contract",4060,17.95,31.736,14.12731006,1
0,1,1,"Contract",2481,29.417184,24.831,25.0349076,1
0,0,1,"Contract",8290,21.55,38.57,11.23613963,1
0,0,0,"U01",226,5.190647,34.833,34.00410678,1
0,0,0,"R01",293,1.32166,6.278,22.53798768,1
1,0,0,"U01",83,2.001333,3.811,50.98973306,1
1,0,1,"U01",129,5.963904,29.065,3.646817248,1
1,1,1,"U01",2521,8.96723,44.016,14.68583162,1
0,0,1,"Contract",6213,4.487559,15.397,5.585215606,1
0,1,1,"Contract",16608,103.4,16.783,1.544147844,1
0,1,1,"Contract",10739,79.3,24.831,1.478439425,1
0,1,1,"Contract",48835,415.1,23.175,10.31622177,1
0,1,1,"Contract",36282,18.2,51.296,10.57905544,1
0,0,0,"R01",210,2.255735,0,130.9897331,0
1,1,1,"R01",508,4.472178,34.833,2.792607803,1
0,0,0,"U01",261,4.801247,4.029,56.08213552,1
0,0,0,"U01",303,4.379891,4.029,29.01026694,1
1,1,0,"U01",810,13.684516,21.455,4.73100616,1
0,0,1,"U01",4012,8.804224,44.016,16.65708419,1
0,0,1,"Contract",433,4.699537,23.494,22.6036961,1
0,1,1,"Contract",10251,106.058401,50.017,3.975359343,1
0,1,1,"Contract",5518,55.633493,53.406,8.443531828,1
0,1,1,"Contract",4733,55.633493,53.406,8.443531828,1
0,0,0,"R01",200,2.231324,23.494,22.50513347,1
0,0,0,"R01",402,1.12463,11.632,37.05954825,1
1,0,1,"Contract",19000,9.497703,38.57,10.41478439,1
0,0,0,"R01",162,2.206498,0,119.063655,0
0,1,1,"U01",2166,17.595514,51.296,10.4476386,1
1,0,0,"R01",492,2.198572,8.016,31.47433265,1
0,0,0,"U01",124,2.708256,3.037,30.06160164,1
0,1,1,"U01",2368,62.59858062,47.05,6.209445585,1
1,1,0,"U01",8727,34.224829,3.766,20.99383984,1
1,0,0,"R01",427,3.58889,25.547,16.45995893,1
1,0,0,"R01",201,3.487832,1.52,34.95687885,1
0,0,0,"R01",135,2.292573,0,84.99383984,0
0,0,1,"R01",902,5.900058,30.011,46.71868583,1
1,0,0,"R01",500,3.275109,1.711,17.0513347,1
0,1,1,"U01",1000,16.79932,47.05,3.876796715,1
0,1,1,"U01",2136,22.592598,53.298,5.059548255,1
0,0,0,"R01",380,0.925,10.94,3.482546201,1
0,0,0,"R01",436,2.561561,0,69.84804928,0
0,0,0,"R01",389,2.617741,0,39.9835729,0
1,0,0,"R01",302,2.88127,13.254,0.985626283,1
0,0,1,"U01",7001,17.178972,50.017,6.045174538,1
1,0,0,"U01",499,11.494152,31.71,9.297741273,1
0,1,1,"U01",2331,39.218339,28.899,12.78028747,1
1,0,0,"R01",164,6.776063,23.494,4.566735113,1
0,0,0,"R01",153,1.827712,23.175,12.12320329,1
